Port 21 is open on 142.250.27.136
Port 80 is open on 142.250.27.136
[2025-05-30 11:16:11] IP: 142.250.102.136, Port: 10, Status: closed
[2025-05-30 11:16:12] IP: 142.250.102.136, Port: 11, Status: closed
[2025-05-30 11:16:13] IP: 142.250.102.136, Port: 12, Status: closed
[2025-05-30 11:16:15] IP: 142.250.102.136, Port: 13, Status: closed
[2025-05-30 11:16:16] IP: 142.250.102.136, Port: 14, Status: closed
[2025-05-30 11:16:17] IP: 142.250.102.136, Port: 15, Status: closed
[2025-05-30 11:16:18] IP: 142.250.102.136, Port: 16, Status: closed
[2025-05-30 11:16:19] IP: 142.250.102.136, Port: 17, Status: closed
[2025-05-30 11:16:20] IP: 142.250.102.136, Port: 18, Status: closed
[2025-05-30 11:16:21] IP: 142.250.102.136, Port: 19, Status: closed
[2025-05-30 11:16:22] IP: 142.250.102.136, Port: 20, Status: closed
[2025-05-30 11:16:22] IP: 142.250.102.136, Port: 21, Status: open
[2025-05-30 11:16:23] IP: 142.250.102.136, Port: 22, Status: closed
[2025-05-30 11:16:24] IP: 142.250.102.136, Port: 23, Status: closed
[2025-05-30 11:16:25] IP: 142.250.102.136, Port: 24, Status: closed
[2025-05-30 11:16:26] IP: 142.250.102.136, Port: 25, Status: closed
[2025-05-30 11:16:27] IP: 142.250.102.136, Port: 26, Status: closed
[2025-05-30 11:16:28] IP: 142.250.102.136, Port: 27, Status: closed
[2025-05-30 11:16:29] IP: 142.250.102.136, Port: 28, Status: closed
[2025-05-30 11:16:30] IP: 142.250.102.136, Port: 29, Status: closed
[2025-05-30 11:16:31] IP: 142.250.102.136, Port: 30, Status: closed
[2025-05-30 11:16:32] IP: 142.250.102.136, Port: 31, Status: closed
[2025-05-30 11:16:33] IP: 142.250.102.136, Port: 32, Status: closed
[2025-05-30 11:16:34] IP: 142.250.102.136, Port: 33, Status: closed
[2025-05-30 11:16:35] IP: 142.250.102.136, Port: 34, Status: closed
[2025-05-30 11:16:36] IP: 142.250.102.136, Port: 35, Status: closed
[2025-05-30 11:16:37] IP: 142.250.102.136, Port: 36, Status: closed
[2025-05-30 11:16:38] IP: 142.250.102.136, Port: 37, Status: closed
[2025-05-30 11:16:39] IP: 142.250.102.136, Port: 38, Status: closed
[2025-05-30 11:16:40] IP: 142.250.102.136, Port: 39, Status: closed
[2025-05-30 11:16:41] IP: 142.250.102.136, Port: 40, Status: closed
[2025-05-30 11:16:42] IP: 142.250.102.136, Port: 41, Status: closed
[2025-05-30 11:16:43] IP: 142.250.102.136, Port: 42, Status: closed
[2025-05-30 11:16:44] IP: 142.250.102.136, Port: 43, Status: closed
[2025-05-30 11:16:45] IP: 142.250.102.136, Port: 44, Status: closed
[2025-05-30 11:16:46] IP: 142.250.102.136, Port: 45, Status: closed
[2025-05-30 11:16:47] IP: 142.250.102.136, Port: 46, Status: closed
[2025-05-30 11:16:48] IP: 142.250.102.136, Port: 47, Status: closed
[2025-05-30 11:16:49] IP: 142.250.102.136, Port: 48, Status: closed
[2025-05-30 11:16:50] IP: 142.250.102.136, Port: 49, Status: closed
[2025-05-30 11:16:51] IP: 142.250.102.136, Port: 50, Status: closed
[2025-05-30 11:16:52] IP: 142.250.102.136, Port: 51, Status: closed
[2025-05-30 11:16:53] IP: 142.250.102.136, Port: 52, Status: closed
[2025-05-30 11:16:54] IP: 142.250.102.136, Port: 53, Status: closed
[2025-05-30 11:16:55] IP: 142.250.102.136, Port: 54, Status: closed
[2025-05-30 11:16:56] IP: 142.250.102.136, Port: 55, Status: closed
[2025-05-30 11:16:57] IP: 142.250.102.136, Port: 56, Status: closed
[2025-05-30 11:16:58] IP: 142.250.102.136, Port: 57, Status: closed
[2025-05-30 11:16:59] IP: 142.250.102.136, Port: 58, Status: closed
[2025-05-30 11:17:00] IP: 142.250.102.136, Port: 59, Status: closed
[2025-05-30 11:17:01] IP: 142.250.102.136, Port: 60, Status: closed
[2025-05-30 11:17:02] IP: 142.250.102.136, Port: 61, Status: closed
[2025-05-30 11:17:03] IP: 142.250.102.136, Port: 62, Status: closed
[2025-05-30 11:17:04] IP: 142.250.102.136, Port: 63, Status: closed
[2025-05-30 11:17:05] IP: 142.250.102.136, Port: 64, Status: closed
[2025-05-30 11:17:06] IP: 142.250.102.136, Port: 65, Status: closed
[2025-05-30 11:17:07] IP: 142.250.102.136, Port: 66, Status: closed
